text,category,problemType,urgency,sentiment
"Filing grievance for Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Calling regarding Underpass flooded with 3 feet of water, road completely impassable. Over 100 families affected in our locality.",Public Works,Potholes,High,Frustrated
"Citizen alert: Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. Please resolve ASAP.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Attention ward officer: Water tanker driver is asking for extra money illegally in Ward 5. Expecting quick response from authorities.,Water Board,Billing Issue,High,Frustrated
Smart meter showing faulty readings after heavy rainfall.,Electricity Board,Meter Defect,Medium,Negative
Citizen alert: Drainage line choked and blocked with plastic waste causing backflow. We need urgent intervention.,Sanitation,Sewage Overflow,High,Frustrated
"Citizen alert: Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. Please resolve ASAP.",Sanitation,Garbage Pile,High,Frustrated
Kindly note Smart meter showing faulty readings after heavy rainfall. Please resolve ASAP.,Electricity Board,Meter Defect,Medium,Negative
Citizen alert: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Please resolve ASAP.,Healthcare,Mosquito Hazard,High,Frustrated
Help needed: Dead animal lying on public road needs immediate sanitary removal. Kindly look into this immediately.,Sanitation,Sanitation,High,Frustrated
Urgent complaint: Drainage line choked and blocked with plastic waste causing backflow. We need urgent intervention.,Sanitation,Sewage Overflow,High,Frustrated
"Citizen alert: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Please resolve ASAP.",Water Board,No Supply,High,Frustrated
Kindly note Open manhole on main street dangerous for pedestrians and children! We need urgent intervention.,Public Works,Open Manhole,Emergency,Frustrated
Attention ward officer: Bridge expansion joint damaged and vibrating dangerously under traffic. Kindly look into this immediately.,Public Works,Bridge Defect,Emergency,Frustrated
"Sir/Madam, Trade license renewal delayed despite submitting all documents. Please resolve ASAP.",Municipal Corporation,Certificate Delay,Low,Neutral
"Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
"Attention ward officer: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Kindly look into this immediately.",Water Board,No Supply,High,Frustrated
"Grievance report: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Please resolve ASAP.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
"Kindly note Fire emergency at local textile godown, blaze spreading rapidly to adjoining houses. Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
Grievance report: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Expecting quick response from authorities.,Healthcare,Mosquito Hazard,High,Frustrated
Citizen alert: Birth certificate application pending for 45 days with no response from ward. Expecting quick response from authorities.,Municipal Corporation,Certificate Delay,Medium,Negative
"Sir/Madam, Ambulance 108 helpline not answering call during medical emergency. We need urgent intervention.",Healthcare,Hospital Supplies,Emergency,Frustrated
Complaint registered from Ward 14: Birth certificate application pending for 45 days with no response from ward. Kindly look into this immediately.,Municipal Corporation,Certificate Delay,Medium,Negative
Calling regarding Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Expecting quick response from authorities.,Public Works,Open Manhole,High,Frustrated
"Issue reported: Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Filing grievance for There is no water supply in our colony since yesterday morning. Pipeline issue. Expecting quick response from authorities.,Water Board,No Supply,High,Frustrated
Urgent complaint: Frequent voltage fluctuations damaging home electronics in Ward 9. Kindly look into this immediately.,Electricity Board,Voltage Fluctuation,High,Negative
Kindly note Bio-medical waste discarded openly behind clinic in residential zone. We need urgent intervention.,Healthcare,Mosquito Hazard,Emergency,Frustrated
"Calling regarding Drinking water line damaged during digging, water supply completely cut off. We need urgent intervention.",Water Board,No Supply,High,Frustrated
"Complaint registered from Ward 14: Water tank billing issue, I was overcharged for this month. Over 100 families affected in our locality.",Water Board,Billing Issue,Low,Negative
Filing grievance for Fallen tree blocking colony inner road after gusty winds. We need urgent intervention.,Municipal Corporation,Civic Amenities,High,Frustrated
"Attention ward officer: Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. Over 100 families affected in our locality.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Attention ward officer: Primary Health Centre doctor absent during official duty hours. Over 100 families affected in our locality.,Healthcare,Doctor Absence,High,Frustrated
Bridge expansion joint damaged and vibrating dangerously under traffic.,Public Works,Bridge Defect,Emergency,Frustrated
Attention ward officer: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. We need urgent intervention.,Water Board,Low Pressure,Medium,Neutral
"Sir/Madam, Fire emergency at local textile godown, blaze spreading rapidly to adjoining houses. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Grievance report: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Kindly look into this immediately.,Healthcare,Mosquito Hazard,High,Frustrated
Ambulance 108 helpline not answering call during medical emergency.,Healthcare,Hospital Supplies,Emergency,Frustrated
Issue reported: Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Expecting quick response from authorities.,Fire & Rescue,Garbage Fire,High,Frustrated
Urgent complaint: Bus driver driving rashly and skipped scheduled stops on Route 23. We need urgent intervention.,Transport,Bus Delay,Medium,Negative
"Grievance report: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. We need urgent intervention.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Attention ward officer: Streetlight pole sparking continuously with loose wiring. Please resolve ASAP.,Electricity Board,Dangling Wire,High,Frustrated
Urgent complaint: City bus route 45 consistently delayed by 1 hour daily during peak morning. Please resolve ASAP.,Transport,Bus Delay,Medium,Negative
Kindly note City bus route 45 consistently delayed by 1 hour daily during peak morning. Expecting quick response from authorities.,Transport,Bus Delay,Medium,Negative
Attention ward officer: Traffic light malfunction at Busy Cross junction creating chaotic congestion. We need urgent intervention.,Transport,Traffic Signal,High,Negative
Electric wire hanging dangerous and low near primary school entrance.,Electricity Board,Dangling Wire,Emergency,Frustrated
Grievance report: Open garbage dump overflowing on pedestrian walkway outside school. We need urgent intervention.,Sanitation,Garbage Pile,High,Frustrated
"Kindly note Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Over 100 families affected in our locality.",Municipal Corporation,Stray Animals,High,Frustrated
Kindly note Dead animal lying on public road needs immediate sanitary removal. Expecting quick response from authorities.,Sanitation,Sanitation,High,Frustrated
Primary Health Centre doctor absent during official duty hours.,Healthcare,Doctor Absence,High,Frustrated
"Help needed: Water tank billing issue, I was overcharged for this month. We need urgent intervention.",Water Board,Billing Issue,Low,Negative
"Filing grievance for Incorrect electricity bill generated, showing 10x normal consumption. Please resolve ASAP.",Electricity Board,Meter Defect,Medium,Negative
"Grievance report: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Expecting quick response from authorities.",Electricity Board,Power Outage,Emergency,Frustrated
Attention ward officer: Contaminated yellow muddy water coming out of taps in Shastri Nagar. We need urgent intervention.,Water Board,Water Quality,High,Negative
Kindly note Primary Health Centre doctor absent during official duty hours. Over 100 families affected in our locality.,Healthcare,Doctor Absence,High,Frustrated
"Complaint registered from Ward 14: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Over 100 families affected in our locality.",Water Board,No Supply,High,Frustrated
"Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai.",Water Board,Pipe Damage,Medium,Negative
Kindly note Illegal parking blocking emergency ambulance entry route to building. Expecting quick response from authorities.,Police,Traffic Violation,High,Frustrated
"Calling regarding Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. Please resolve ASAP.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Urgent complaint: Government hospital emergency room out of basic lifesaving medicines. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
Bus shelter collapsed and broken glass scattered around waiting area.,Transport,Transit Grievance,Medium,Negative
"Complaint registered from Ward 14: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Expecting quick response from authorities.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Filing grievance for There is no water supply in our colony since yesterday morning. Pipeline issue. Please resolve ASAP.,Water Board,No Supply,High,Frustrated
Grievance report: Smart meter showing faulty readings after heavy rainfall. Please resolve ASAP.,Electricity Board,Meter Defect,Medium,Negative
Grievance report: Public toilet in market complex completely uncleaned and unusable. We need urgent intervention.,Sanitation,Sanitation,Medium,Negative
Filing grievance for Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
"Calling regarding Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Kindly note Bus shelter collapsed and broken glass scattered around waiting area. Kindly look into this immediately.,Transport,Transit Grievance,Medium,Negative
Filing grievance for Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Over 100 families affected in our locality.,Police,Theft,Emergency,Frustrated
Grievance report: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Over 100 families affected in our locality.,Water Board,Low Pressure,Medium,Neutral
"Citizen alert: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Kindly look into this immediately.",Water Board,Pipe Damage,Medium,Negative
Kindly note Drainage line choked and blocked with plastic waste causing backflow. We need urgent intervention.,Sanitation,Sewage Overflow,High,Frustrated
"Grievance report: Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Kindly look into this immediately.",Municipal Corporation,Stray Animals,High,Frustrated
Kindly note Frequent voltage fluctuations damaging home electronics in Ward 9. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,High,Negative
Urgent complaint: Ambulance 108 helpline not answering call during medical emergency. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Calling regarding Incorrect electricity bill generated, showing 10x normal consumption. Kindly look into this immediately.",Electricity Board,Meter Defect,Medium,Negative
Help needed: Loud speakers playing beyond midnight illegally near residential area. Over 100 families affected in our locality.,Police,Noise Complaint,Medium,Frustrated
"Sir/Madam, Road damaged and cracked after heavy rainfall, need urgent resurfacing. Kindly look into this immediately.",Public Works,Potholes,Medium,Negative
Urgent complaint: Main water pipe burst near Green Park metro station. Water flooding the road! Over 100 families affected in our locality.,Water Board,Pipe Damage,Emergency,Frustrated
"Citizen alert: Fire emergency at local textile godown, blaze spreading rapidly to adjoining houses. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Filing grievance for Drunk persons creating public nuisance and harassing pedestrians at bus stop. Please resolve ASAP.,Police,Public Safety,High,Frustrated
Issue reported: Illegal construction and encroachment on public park land. Expecting quick response from authorities.,Municipal Corporation,Encroachment,High,Frustrated
"Issue reported: Thee pidithullathu, urgent fire station rescue and fire engine required. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Illegal parking blocking emergency ambulance entry route to building. Kindly look into this immediately.,Police,Traffic Violation,High,Frustrated
"Sir/Madam, Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Over 100 families affected in our locality.",Water Board,Pipe Damage,Medium,Negative
"Grievance report: Water tank billing issue, I was overcharged for this month. Please resolve ASAP.",Water Board,Billing Issue,Low,Negative
Filing grievance for Bus driver driving rashly and skipped scheduled stops on Route 23. Expecting quick response from authorities.,Transport,Bus Delay,Medium,Negative
Grievance report: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Expecting quick response from authorities.,Public Works,Open Manhole,High,Frustrated
Issue reported: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Please resolve ASAP.,Public Works,Open Manhole,High,Frustrated
Grievance report: Government hospital emergency room out of basic lifesaving medicines. Please resolve ASAP.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Kindly note Water tank billing issue, I was overcharged for this month. Expecting quick response from authorities.",Water Board,Billing Issue,Low,Negative
Kindly note Auto rickshaw drivers refusing by-meter fare and demanding double charges. Please resolve ASAP.,Transport,Transit Grievance,Low,Negative
Grievance report: Traffic signal violation causing near accidents daily at cross junction. Kindly look into this immediately.,Police,Traffic Violation,Medium,Negative
Attention ward officer: Thank you water department for repairing the broken pipe quickly today. Over 100 families affected in our locality.,Water Board,Pipe Damage,Low,Positive
"Help needed: Attempted burglary at locked house in B-Block, door lock tampered. We need urgent intervention.",Police,Theft,Emergency,Frustrated
Issue reported: Smart meter showing faulty readings after heavy rainfall. Please resolve ASAP.,Electricity Board,Meter Defect,Medium,Negative
There is no water supply in our colony since yesterday morning. Pipeline issue.,Water Board,No Supply,High,Frustrated
Kindly note Electric wire hanging dangerous and low near primary school entrance. Please resolve ASAP.,Electricity Board,Dangling Wire,Emergency,Frustrated
"Underpass flooded with 3 feet of water, road completely impassable.",Public Works,Potholes,High,Frustrated
Pedestrian sidewalk paving stones dug up and left unfinished.,Public Works,Potholes,Medium,Negative
"Complaint registered from Ward 14: Water tank billing issue, I was overcharged for this month. We need urgent intervention.",Water Board,Billing Issue,Low,Negative
Help needed: Main water pipe burst near Green Park metro station. Water flooding the road! Kindly look into this immediately.,Water Board,Pipe Damage,Emergency,Frustrated
Urgent complaint: Electric wire hanging dangerous and low near primary school entrance. Kindly look into this immediately.,Electricity Board,Dangling Wire,Emergency,Frustrated
Kindly note Auto rickshaw drivers refusing by-meter fare and demanding double charges. Kindly look into this immediately.,Transport,Transit Grievance,Low,Negative
Issue reported: Illegal parking blocking emergency ambulance entry route to building. Kindly look into this immediately.,Police,Traffic Violation,High,Frustrated
"Urgent complaint: Thee pidithullathu, urgent fire station rescue and fire engine required. Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Public toilet in market complex completely uncleaned and unusable. Please resolve ASAP.,Sanitation,Sanitation,Medium,Negative
Complaint registered from Ward 14: Pedestrian sidewalk paving stones dug up and left unfinished. Please resolve ASAP.,Public Works,Potholes,Medium,Negative
Issue reported: Ambulance 108 helpline not answering call during medical emergency. Expecting quick response from authorities.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Sir/Madam, Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Over 100 families affected in our locality.",Electricity Board,Transformer Fire,Emergency,Frustrated
Calling regarding Bio-medical waste discarded openly behind clinic in residential zone. Kindly look into this immediately.,Healthcare,Mosquito Hazard,Emergency,Frustrated
Urgent complaint: Drunk persons creating public nuisance and harassing pedestrians at bus stop. We need urgent intervention.,Police,Public Safety,High,Frustrated
"Sir/Madam, Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
"Water tank billing issue, I was overcharged for this month.",Water Board,Billing Issue,Low,Negative
"Forest and bush fire spreading near highway residential colony, need firefighters and water tenders.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
Help needed: Electric wire hanging dangerous and low near primary school entrance. We need urgent intervention.,Electricity Board,Dangling Wire,Emergency,Frustrated
Filing grievance for Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Expecting quick response from authorities.,Fire & Rescue,Garbage Fire,High,Frustrated
Attention ward officer: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Expecting quick response from authorities.,Water Board,Low Pressure,Medium,Neutral
Filing grievance for City bus route 45 consistently delayed by 1 hour daily during peak morning. Please resolve ASAP.,Transport,Bus Delay,Medium,Negative
Calling regarding Loud speakers playing beyond midnight illegally near residential area. Kindly look into this immediately.,Police,Noise Complaint,Medium,Frustrated
Urgent complaint: Pedestrian sidewalk paving stones dug up and left unfinished. We need urgent intervention.,Public Works,Potholes,Medium,Negative
"Sir/Madam, Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Expecting quick response from authorities.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Issue reported: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Kindly look into this immediately.,Water Board,Low Pressure,Medium,Neutral
Urgent complaint: Traffic signal violation causing near accidents daily at cross junction. Please resolve ASAP.,Police,Traffic Violation,Medium,Negative
Help needed: Pedestrian sidewalk paving stones dug up and left unfinished. Please resolve ASAP.,Public Works,Potholes,Medium,Negative
Citizen alert: Traffic signal violation causing near accidents daily at cross junction. Kindly look into this immediately.,Police,Traffic Violation,Medium,Negative
"Thee pidithullathu, urgent fire station rescue and fire engine required.",Fire & Rescue,Building Fire,Emergency,Frustrated
Kindly note Public toilet in market complex completely uncleaned and unusable. Over 100 families affected in our locality.,Sanitation,Sanitation,Medium,Negative
Frequent voltage fluctuations damaging home electronics in Ward 9.,Electricity Board,Voltage Fluctuation,High,Negative
"Calling regarding Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. Expecting quick response from authorities.",Sanitation,Garbage Pile,High,Frustrated
Filing grievance for Drainage line choked and blocked with plastic waste causing backflow. We need urgent intervention.,Sanitation,Sewage Overflow,High,Frustrated
"Sir/Madam, Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! We need urgent intervention.",Electricity Board,Transformer Fire,Emergency,Frustrated
Issue reported: Streetlight pole sparking continuously with loose wiring. Over 100 families affected in our locality.,Electricity Board,Dangling Wire,High,Frustrated
Kindly note Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Please resolve ASAP.,Public Works,Open Manhole,High,Frustrated
Calling regarding Power cut scheduled without prior notice in industrial layout. Expecting quick response from authorities.,Electricity Board,Power Outage,Medium,Negative
Issue reported: Massive potholes on main road causing severe traffic jams and bike accidents. We need urgent intervention.,Public Works,Potholes,High,Frustrated
Filing grievance for Sewage water mixing with rainwater and overflowing on main street. Please resolve ASAP.,Sanitation,Sewage Overflow,Emergency,Frustrated
Citizen alert: Open garbage dump overflowing on pedestrian walkway outside school. Kindly look into this immediately.,Sanitation,Garbage Pile,High,Frustrated
Attention ward officer: Sewage water mixing with rainwater and overflowing on main street. Please resolve ASAP.,Sanitation,Sewage Overflow,Emergency,Frustrated
Attention ward officer: Electric wire hanging dangerous and low near primary school entrance. Expecting quick response from authorities.,Electricity Board,Dangling Wire,Emergency,Frustrated
Calling regarding Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Expecting quick response from authorities.,Electricity Board,Transformer Fire,Emergency,Frustrated
Help needed: Water tanker driver is asking for extra money illegally in Ward 5. Over 100 families affected in our locality.,Water Board,Billing Issue,High,Frustrated
Calling regarding Electric wire hanging dangerous and low near primary school entrance. Expecting quick response from authorities.,Electricity Board,Dangling Wire,Emergency,Frustrated
"Attention ward officer: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. We need urgent intervention.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Grievance report: Public toilet in market complex completely uncleaned and unusable. We need urgent intervention.,Sanitation,Sanitation,Medium,Negative
Help needed: Public toilet in market complex completely uncleaned and unusable. Over 100 families affected in our locality.,Sanitation,Sanitation,Medium,Negative
"Sir/Madam, Incorrect electricity bill generated, showing 10x normal consumption. Expecting quick response from authorities.",Electricity Board,Meter Defect,Medium,Negative
Issue reported: Power cut scheduled without prior notice in industrial layout. Kindly look into this immediately.,Electricity Board,Power Outage,Medium,Negative
Help needed: Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! We need urgent intervention.,Electricity Board,Transformer Fire,Emergency,Frustrated
Citizen alert: Illegal construction and encroachment on public park land. Kindly look into this immediately.,Municipal Corporation,Encroachment,High,Frustrated
Citizen alert: Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Over 100 families affected in our locality.,Electricity Board,Transformer Fire,Emergency,Frustrated
Urgent complaint: Fallen tree blocking colony inner road after gusty winds. We need urgent intervention.,Municipal Corporation,Civic Amenities,High,Frustrated
"Citizen alert: Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. We need urgent intervention.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Attention ward officer: Property tax portal showing wrong calculation and pending dues. Over 100 families affected in our locality.,Municipal Corporation,Property Tax,Low,Negative
"Calling regarding Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Kindly look into this immediately.",Municipal Corporation,Stray Animals,High,Frustrated
Citizen alert: Auto rickshaw drivers refusing by-meter fare and demanding double charges. We need urgent intervention.,Transport,Transit Grievance,Low,Negative
"Complaint registered from Ward 14: Water tank billing issue, I was overcharged for this month. Expecting quick response from authorities.",Water Board,Billing Issue,Low,Negative
"Filing grievance for Fire broke out in commercial building near main market, urgent fire rescue needed! We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Kindly note Vehicle stolen from apartment parking lot last night. Expecting quick response from authorities.,Police,Theft,High,Frustrated
"Attention ward officer: Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Expecting quick response from authorities.",Fire & Rescue,Building Fire,Emergency,Frustrated
Citizen alert: Trade license renewal delayed despite submitting all documents. We need urgent intervention.,Municipal Corporation,Certificate Delay,Low,Neutral
"Kindly note Forest and bush fire spreading near highway residential colony, need firefighters and water tenders. Expecting quick response from authorities.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
"Urgent complaint: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Over 100 families affected in our locality.",Water Board,Pipe Damage,Medium,Negative
"Fire broke out in commercial building near main market, urgent fire rescue needed!",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Garbage collection vehicle not coming for last 4 days in Block D. Kindly look into this immediately.,Sanitation,Garbage Pile,High,Frustrated
"Issue reported: Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. Over 100 families affected in our locality.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Urgent complaint: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Expecting quick response from authorities.,Healthcare,Mosquito Hazard,High,Frustrated
Urgent complaint: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. We need urgent intervention.,Water Board,Low Pressure,Medium,Neutral
"Attention ward officer: Attempted burglary at locked house in B-Block, door lock tampered. Kindly look into this immediately.",Police,Theft,Emergency,Frustrated
Issue reported: Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Over 100 families affected in our locality.,Electricity Board,Transformer Fire,Emergency,Frustrated
Help needed: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Expecting quick response from authorities.,Police,Theft,Emergency,Frustrated
"Sir/Madam, Food poisoning outbreak reported from unhygienic street vendor stall. Kindly look into this immediately.",Healthcare,Food Safety,Emergency,Frustrated
Kindly note Power cut scheduled without prior notice in industrial layout. Please resolve ASAP.,Electricity Board,Power Outage,Medium,Negative
Attention ward officer: Frequent voltage fluctuations damaging home electronics in Ward 9. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,High,Negative
Kindly note Pedestrian sidewalk paving stones dug up and left unfinished. We need urgent intervention.,Public Works,Potholes,Medium,Negative
"Calling regarding Drinking water line damaged during digging, water supply completely cut off. Kindly look into this immediately.",Water Board,No Supply,High,Frustrated
Calling regarding Property tax portal showing wrong calculation and pending dues. Please resolve ASAP.,Municipal Corporation,Property Tax,Low,Negative
Citizen alert: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Kindly look into this immediately.,Water Board,Low Pressure,Medium,Neutral
"Urgent complaint: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Over 100 families affected in our locality.",Water Board,Pipe Damage,Medium,Negative
Attention ward officer: Birth certificate application pending for 45 days with no response from ward. Expecting quick response from authorities.,Municipal Corporation,Certificate Delay,Medium,Negative
Grievance report: Volt-ampere drop is causing refrigerator to trip continuously. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Complaint registered from Ward 14: Illegal construction and encroachment on public park land. We need urgent intervention.,Municipal Corporation,Encroachment,High,Frustrated
Urgent complaint: Bus driver driving rashly and skipped scheduled stops on Route 23. Kindly look into this immediately.,Transport,Bus Delay,Medium,Negative
"Sir/Madam, Open garbage dump overflowing on pedestrian walkway outside school. Over 100 families affected in our locality.",Sanitation,Garbage Pile,High,Frustrated
"Sir/Madam, Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Expecting quick response from authorities.",Fire & Rescue,Garbage Fire,High,Frustrated
Attention ward officer: Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
"Help needed: Thee pidithullathu, urgent fire station rescue and fire engine required. Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
Calling regarding Government hospital emergency room out of basic lifesaving medicines. Kindly look into this immediately.,Healthcare,Hospital Supplies,Emergency,Frustrated
Urgent complaint: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. We need urgent intervention.,Public Works,Open Manhole,High,Frustrated
Illegal parking blocking emergency ambulance entry route to building.,Police,Traffic Violation,High,Frustrated
"Calling regarding Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. We need urgent intervention.",Water Board,Pipe Damage,Medium,Negative
Complaint registered from Ward 14: Volt-ampere drop is causing refrigerator to trip continuously. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Complaint registered from Ward 14: Government hospital emergency room out of basic lifesaving medicines. Kindly look into this immediately.,Healthcare,Hospital Supplies,Emergency,Frustrated
Issue reported: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Expecting quick response from authorities.,Healthcare,Mosquito Hazard,High,Frustrated
"Issue reported: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Expecting quick response from authorities.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
"Calling regarding Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Please resolve ASAP.",Water Board,No Supply,High,Frustrated
Issue reported: Power cut scheduled without prior notice in industrial layout. Expecting quick response from authorities.,Electricity Board,Power Outage,Medium,Negative
Citizen alert: Pedestrian sidewalk paving stones dug up and left unfinished. Please resolve ASAP.,Public Works,Potholes,Medium,Negative
Bus driver driving rashly and skipped scheduled stops on Route 23.,Transport,Bus Delay,Medium,Negative
Issue reported: Frequent voltage fluctuations damaging home electronics in Ward 9. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,High,Negative
Attention ward officer: Traffic light malfunction at Busy Cross junction creating chaotic congestion. Over 100 families affected in our locality.,Transport,Traffic Signal,High,Negative
"Grievance report: Road damaged and cracked after heavy rainfall, need urgent resurfacing. Kindly look into this immediately.",Public Works,Potholes,Medium,Negative
Citizen alert: Pedestrian sidewalk paving stones dug up and left unfinished. Expecting quick response from authorities.,Public Works,Potholes,Medium,Negative
"Help needed: Attempted burglary at locked house in B-Block, door lock tampered. Please resolve ASAP.",Police,Theft,Emergency,Frustrated
Grievance report: Traffic light malfunction at Busy Cross junction creating chaotic congestion. Kindly look into this immediately.,Transport,Traffic Signal,High,Negative
"Sir/Madam, Ambulance 108 helpline not answering call during medical emergency. Expecting quick response from authorities.",Healthcare,Hospital Supplies,Emergency,Frustrated
Issue reported: Vehicle stolen from apartment parking lot last night. Kindly look into this immediately.,Police,Theft,High,Frustrated
"Help needed: Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. Please resolve ASAP.",Sanitation,Garbage Pile,High,Frustrated
Grievance report: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Expecting quick response from authorities.,Water Board,Low Pressure,Medium,Neutral
Filing grievance for Smart meter showing faulty readings after heavy rainfall. We need urgent intervention.,Electricity Board,Meter Defect,Medium,Negative
"Issue reported: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Expecting quick response from authorities.",Water Board,No Supply,High,Frustrated
"Kindly note Drinking water line damaged during digging, water supply completely cut off. Over 100 families affected in our locality.",Water Board,No Supply,High,Frustrated
